generation,best_fitness,median_tree_size
0,3.285698,63
1,3.285698,31
2,3.285698,83
3,3.285698,83
4,3.285698,41
5,3.285698,41
6,3.285698,41
7,2.821132,39
8,2.645125,37
9,2.645125,37
10,2.645125,35
11,2.551963,31
12,2.302791,31
13,2.302791,31
14,2.2737,31
15,2.205263,31
16,2.205263,33
17,2.205262,33
18,2.204343,39
19,2.202393,41
20,2.202393,41
21,2.20115,45
22,2.198691,43
23,2.198691,47
24,2.198691,43
25,2.198691,41
26,2.187088,45
27,2.177344,53
28,2.086954,51
29,2.082598,53
30,2.082598,53
31,2.082598,53
32,2.082598,55
33,2.082598,59
34,2.072223,59
35,2.072223,59
36,2.07205,59
37,2.071338,57
38,2.071338,55
39,2.071338,65
40,2.071282,67
41,2.070911,67
42,2.070911,67
43,2.070911,67
44,2.070911,69
45,2.070786,69
46,2.070786,69
47,2.070729,71
48,2.070729,73
49,2.070729,79
50,2.070729,79
51,1.91176,79
52,1.91176,77
53,1.91176,79
54,1.91176,79
55,1.91176,79
56,1.91176,79
57,1.91176,79
58,1.91176,79
59,1.91176,79
60,1.91176,79
61,1.91176,79
62,1.729427,79
63,1.729427,77
64,1.729427,75
65,1.729427,79
66,1.729427,81
67,1.729427,69
68,1.729427,71
69,1.729427,71
70,1.729427,73
71,1.729427,73
72,1.729427,71
73,1.729427,79
74,1.729427,81
75,1.729427,79
76,1.729427,79
77,1.729427,79
78,1.729427,79
79,1.729427,79
80,1.729427,79
81,1.729427,81
82,1.729427,81
83,1.729427,87
84,1.729427,81
85,1.729427,81
86,1.729427,83
87,1.729427,81
88,1.729427,79
89,1.729427,89
90,1.729427,91
91,1.729427,91
92,1.729427,93
93,1.729427,93
94,1.729427,93
95,1.729427,93
96,1.729427,93
97,1.729427,93
98,1.729427,93
99,1.729427,91
100,1.729427,91
101,1.729427,93
102,1.729427,93
103,1.729427,93
104,1.729427,93
105,1.729427,93
106,1.729427,93
107,1.729427,93
108,1.729427,93
109,1.729427,93
110,1.729427,93
111,1.729427,93
112,1.729427,85
113,1.729427,85
114,1.729427,89
115,1.729427,89
116,1.729427,89
117,1.729427,91
