generation,best_fitness,converged
0,0.0986847407913215,0
1,0.0986847407913215,0
2,0.0986847407913215,0
3,0.0986847407913215,0
4,0.0986847407913215,0
5,0.09191797662949087,0
6,0.09191797662949087,0
7,0.09191797662949087,0
8,0.09191797662949087,0
9,0.09191797662949087,0
10,0.09191797662949087,0
11,0.09191797662949087,0
12,0.09191797662949087,0
13,0.09191797662949087,0
14,0.09191797662949087,0
15,0.09191797662949087,0
16,0.09191797662949087,0
17,0.09191797662949087,0
18,0.09191797662949087,0
19,0.09191797662949087,0
20,0.09191797662949087,0
21,0.09191797662949087,0
22,0.09191797662949087,0
23,0.09191797662949087,0
24,0.09191797662949087,0
25,0.09191797662949087,0
26,0.09191797662949087,0
27,0.09191797662949087,0
28,0.09191797662949087,0
29,0.09191797662949087,0
30,0.09191797662949087,0
31,0.09191797662949087,0
32,0.09191797662949087,0
33,0.09191797662949087,0
34,0.09191797662949087,0
35,0.09191797662949087,0
36,0.09191797662949087,0
37,0.09191797662949087,0
38,0.09191797662949087,0
39,0.09191797662949087,0
40,0.09191797662949087,0
41,0.09191797662949087,0
42,0.09191797662949087,0
43,0.09191797662949087,0
44,0.09191797662949087,0
45,0.09191797662949087,0
46,0.09191797662949087,0
47,0.09191797662949087,0
48,0.09191797662949087,0
49,0.09191797662949087,0
50,0.09191797662949087,0
51,0.09191797662949087,0
52,0.09191797662949087,0
53,0.09191797662949087,0
54,0.09191797662949087,0
55,0.09191797662949087,0
